nr,TL,TW,Sex,fecundity,Location,Introduction,age,0,1,2,3,4,5,6,7,8
1,125,29.7,0,3,Matsalu,2016,2,NA,50.302913562109055,112.67763970430843,NA,NA,NA,NA,NA,NA
3,135,32.80000000000001,0,3,Matsalu,2016,2,NA,58.3254508777093,97.45911192104035,NA,NA,NA,NA,NA,NA
6,122,26,0,3,Matsalu,2016,2,NA,34.70132973318796,89.73858776922256,NA,NA,NA,NA,NA,NA
7,120,26.5,0,3,Matsalu,2016,2,NA,23.964785006396315,76.62065702200951,NA,NA,NA,NA,NA,NA
8,131,31.9,0,3,Matsalu,2016,2,NA,55.98610286442451,111.3013829259614,NA,NA,NA,NA,NA,NA
9,130,31.2,0,3,Matsalu,2016,2,NA,43.824368130666485,112.63954302919596,NA,NA,NA,NA,NA,NA
14,111,17.9,0,3,Matsalu,2016,2,NA,29.417982929464475,92.79571784015637,NA,NA,NA,NA,NA,NA
16,120,24.5,0,3,Matsalu,2016,2,NA,55.199591789323804,101.84199750369504,NA,NA,NA,NA,NA,NA
18,110,17.2,0,3,Matsalu,2016,2,NA,47.16663646780387,105.04792160038483,NA,NA,NA,NA,NA,NA
22,142,43.1,0,3,Matsalu,2016,2,NA,56.149069659048,124.08021963714776,NA,NA,NA,NA,NA,NA
25,136,43.7,0,3,Matsalu,2016,2,NA,44.4630314207806,118.50901371322624,NA,NA,NA,NA,NA,NA
32,128,32.6,0,3,Matsalu,2016,2,NA,50.6300731626276,114.93084006204502,NA,NA,NA,NA,NA,NA
33,121,27,0,3,Matsalu,2016,2,NA,36.08824449395517,102.9860760200293,NA,NA,NA,NA,NA,NA
35,160,55.9,0,2,Matsalu,2016,2,NA,59.64013080670522,153.26067751536536,NA,NA,NA,NA,NA,NA
43,158,67.9,0,4,Matsalu,2016,2,NA,70.39371521118326,143.11543515418782,NA,NA,NA,NA,NA,NA
19,138,40.9,1,2,Matsalu,2016,2,NA,43.38116658755297,121.98850725782525,NA,NA,NA,NA,NA,NA
38,172,84.9,1,3,Matsalu,2016,2,NA,51.305816714837654,148.39925424270078,NA,NA,NA,NA,NA,NA
39,146,52.2,1,2,Matsalu,2016,2,NA,58.204975918504026,132.05034164610294,NA,NA,NA,NA,NA,NA
40,161,78.2,1,2,Matsalu,2016,2,NA,50.67551076820826,135.4565682261316,NA,NA,NA,NA,NA,NA
42,163,80.3,1,2,Matsalu,2016,2,NA,50.03709728135128,123.73105200075251,NA,NA,NA,NA,NA,NA
44,160,54.2,1,2,Matsalu,2016,2,NA,69.95855291652462,155.0780771949358,NA,NA,NA,NA,NA,NA
45,156,64.6,1,2,Matsalu,2016,2,NA,38.20370903669002,128.2110206207923,NA,NA,NA,NA,NA,NA
48,156,45.6,1,3,Matsalu,2016,2,NA,69.3165495108297,153.3292574160615,NA,NA,NA,NA,NA,NA
50,160,73.7,1,2,Matsalu,2016,2,NA,48.335375488964914,135.29681934318273,NA,NA,NA,NA,NA,NA
