nr,sex,location,introduction,age,tl
29,0,Kihnu,2012,2,147.75936532561894
40,0,Kihnu,2012,2,90.20125723981356
49,0,Kihnu,2012,2,78.33285732717046
51,0,Kihnu,2012,2,68.86726480736489
2,1,Kihnu,2012,2,148.50073998432367
4,1,Kihnu,2012,2,129.8910709316294
7,1,Kihnu,2012,2,139.43374509061246
9,1,Kihnu,2012,2,92.3237136576363
19,1,Kihnu,2012,2,167.805612512873
36,1,Kihnu,2012,2,120.63501298686155
37,1,Kihnu,2012,2,121.62945704450837
18,3,Kihnu,2012,2,109.26208474236614
26,3,Kihnu,2012,2,108.69270537613035
31,3,Kihnu,2012,2,127.88236933308893
38,3,Kihnu,2012,2,90.01940201956049
39,3,Kihnu,2012,2,87.65382301546256
50,3,Kihnu,2012,2,71.58577247465233
5,0,Kihnu,2012,2,101.24451633106321
12,0,Kihnu,2012,2,128.75347853287218
13,0,Kihnu,2012,2,70.23321893309796
20,0,Kihnu,2012,2,109.00991836163729
21,0,Kihnu,2012,2,89.1826965618907
22,0,Kihnu,2012,2,106.47293899119796
25,0,Kihnu,2012,2,106.14797380957621
35,0,Kihnu,2012,2,110.24741015176029
43,0,Kihnu,2012,2,111.44459779593645
14,1,Kihnu,2012,2,94.45644648655697
24,1,Kihnu,2012,2,127.18095083635264
27,1,Kihnu,2012,2,113.48684108524355
41,1,Kihnu,2012,2,139.23669761468778
78,1,Kihnu,2012,2,159.0929634715365
30,3,Kihnu,2012,2,125.91376937595389
1,0,Kihnu,2012,2,81.58749036195273
16,0,Kihnu,2012,2,64.11082407398871
44,0,Kihnu,2012,2,118.30863466311851
76,0,Kihnu,2012,2,131.33302396897068
3,1,Kihnu,2012,2,96.95248704399431
33,1,Kihnu,2012,2,88.4328259453098
34,1,Kihnu,2012,2,97.265855791181
47,1,Kihnu,2012,2,93.83488762782738
73,1,Kihnu,2012,2,112.39271844375284
74,1,Kihnu,2012,2,111.88642283252899
75,1,Kihnu,2012,2,74.62855307231925
32,3,Kihnu,2012,2,53.751452616091356
48,0,Kihnu,2012,2,69.39028139990924
29,0,Kõiguste,2014,2,93.13719014122559
